method, of, time, rho, alpha, iteration, sol
exact, 8229.579999999569, 2.7281320095062256, 0, 0, 0, 163.0 161.0 163.0 158.0 157.0 166.0 163.0 161.0 162.0 161.0 162.0 169.0 160.0 166.0 161.0 167.0 168.0 164.0 162.0 157.0 162.0 168.0
heu, 8144.209999998752, 47.77269458770752, 10, 1.1, 4, 160 161 163 161 156 165 162 161 161 159 160 167 158 169 160 166 168 164 160 157 160 169
heu, 8232.87, 23.698816537857056, 10, 10, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
heu, 8232.87, 23.94596552848816, 10, 100, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
heu, 7835.32, 19.6926167011261, 40, 1.1, 3, 161 162 164 162 157 166 163 162 162 160 161 168 159 170 161 167 169 165 161 158 161 170
heu, 8232.87, 20.330875635147095, 40, 10, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
heu, 8232.87, 18.615349292755127, 40, 100, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
heu, 7538.32, 19.543281316757202, 70, 1.1, 3, 161 162 164 162 157 166 163 162 162 160 161 168 159 170 161 167 169 165 161 158 161 170
heu, 8232.87, 20.98732280731201, 70, 10, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
heu, 8232.87, 19.57513427734375, 70, 100, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
heu, 7241.320000000465, 20.275878429412842, 100, 1.1, 3, 161 162 164 162 157 166 163 162 162 160 161 168 159 170 161 167 169 165 161 158 161 170
heu, 8232.87, 20.881910800933838, 100, 10, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
heu, 8232.87, 20.28087878227234, 100, 100, 3, 162 163 165 163 158 167 164 163 163 161 162 169 160 171 162 168 170 166 162 159 162 171
