in_samp_exact, in_samp_heu
14364.360000001596,14373.04
14276.920000001719,14292.08
14144.480000001604,14285.4
14065.360000001501,14321.56
14304.00000000157,14192.12
14315.960000001887,14217.0
14330.480000001613,14173.28
14259.960000001842,14321.6
14363.720000001827,14357.0
14306.280000001647,14296.4
14329.280000001681,14309.68
14279.560000001653,14243.72
14382.600000001641,14285.28
14250.920000001594,14274.56
14258.04000000162,14287.52
14271.000000001713,14241.92
14327.880000001798,14333.24
14354.000000001848,14319.08
14501.840000001914,14117.68
14142.280000001694,14326.28
14266.680000001768,14157.0
14233.360000001758,14249.76
14396.440000001585,14324.2
14299.320000001639,14398.4
14141.320000001779,14372.52
14233.320000001591,14358.48
14266.040000001734,14270.28
14345.480000001588,14406.96
14286.080000001646,14210.6
14366.16000000148,14287.24
14272.240000001717,14276.44
14017.6400000015,14242.24
14235.680000001623,14332.6
14247.600000001687,14303.88
14397.160000001868,14282.08
14334.800000001727,14243.68
14292.520000001738,14209.8
14403.440000001601,14335.56
14281.360000001696,14275.64
14245.44000000167,14364.76
14227.00000000193,14218.36
14429.040000001633,14173.16
14335.360000001805,14363.08
14314.72000000173,14222.6
14250.560000001742,14266.2
14302.520000001708,14322.24
14174.240000001671,14200.28
14221.720000001693,14336.96
14176.84000000162,14263.0
14202.1200000016,14332.88
14188.360000001683,14266.44
14458.28000000194,14296.12
14295.520000001885,14239.2
14222.240000001817,14346.56
14292.720000001758,14130.56
14326.240000001739,14252.96
14340.480000001657,14201.16
14353.800000001722,14299.0
14240.680000001934,14362.88
14362.440000001683,14129.76
14141.160000001526,14250.12
14253.560000001571,14248.76
14328.480000001678,14518.56
14164.520000001836,14178.08
14189.240000001599,14346.52
14323.000000001774,14325.04
14413.320000001977,14295.8
14346.72000000169,14310.4
14279.24000000171,14305.52
14365.36000000174,14146.76
14233.920000001677,14334.08
14479.360000001694,14147.52
14448.160000001664,14183.44
14282.00000000169,14174.96
14296.680000001565,14220.92
14250.08000000162,14305.84
14355.000000001643,14326.08
14363.200000001665,14280.32
14291.120000001582,14350.44
14177.480000001598,14203.4
14185.040000001536,14245.88
14264.76000000154,14279.0
14296.640000001877,14275.12
14218.240000001753,14292.64
14306.160000001717,14205.52
14406.640000001516,14296.2
14342.48000000179,14195.2
14399.800000001514,14312.44
14246.960000001642,14295.88
14280.44000000174,14325.72
14214.400000001828,14319.44
14364.240000001651,14265.52
14275.880000001884,14061.16
14203.0400000016,14415.52
14192.00000000167,14288.4
14125.9600000016,14244.92
14318.080000001615,14332.04
14077.640000001442,14134.44
14169.240000001739,14270.8
14511.360000001883,14213.48
