method, of, time, rho, alpha, iterations sol
heu, 14277.52, 8.44166874885559, 10, 1.1, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 9.061685800552368, 10, 10, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.981001615524292, 10, 100, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 8.33319640159607, 40, 1.1, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.804001569747925, 40, 10, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.794842481613159, 40, 100, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.831286430358887, 70, 1.1, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.589000940322876, 70, 10, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.894999027252197, 70, 100, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.648999452590942, 100, 1.1, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.838297605514526, 100, 10, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
heu, 14277.52, 7.771978139877319, 100, 100, 1, 10 6 9 10 12 8 12 3 2 13 5 10 9 2 19 18 20 4 5 3 1 5
